序号,指标类别,指标名称(英文缩写),定义(一句话说清衡量什么),公式(分子分母明确),驱动因素(每条标注↑/↓方向,分号分隔),健康区间(分模式+标杆参考),改善方向(1-2条落地可执行动作)
1,运营类,成交额(GMV),"平台或行业总交易金额，含退款，不等于确认收入，用于衡量业务盘规模","简化:∑(订单销量 × 订单单价) ; 严格:成交订单金额合计(各平台口径有差异是否含未付款需注明)","①活跃用户数增长(↑);②客单价提升(↑);③转化率提升(↑);④退货率上升(↓,净GMV减少)","[例]中国实物商品网上社零 2024约15万亿/年;单平台看阿里国内GMV约8万亿+","①大促节点满减策略设计提升客单价;②推荐算法优化用户到商品链路提升转化率"
2,运营类,货币化率(Take Rate),"衡量平台将GMV转化为实际营业收入的能力，即每100元GMV平台能拿到多少真收入","简化:营业收入 / GMV ×100% ; 严格:(佣金收入+广告收入+增值服务收入)/平台总成交额 ×100%","①佣金费率上调(↑);②广告位竞价加剧点击单价CPC提升(↑);③高佣金类目(美妆/3C)占比提升(↑);④大促平台补贴让利增加(↓)","纯平台模式8%-15%(阿里 11%+);自营+平台混合5%-10%(京东 6%左右);纯自营<3%","①搜索广告位加精准推荐模型 提升CPC;②高佣金类目(美妆/3C/宠物)招商部扩容"
3,运营类,月活跃用户数(MAU),"月度独立活跃用户数(一般30天内至少登录或访问1次),衡量流量盘规模","统计周期(自然月)内去重后的独立用户数","①新用户投放拉新(↑);②老用户召回推送(↑);③品牌曝光事件(大促/代言/剧植入)(↑);④产品体验差用户流失(↓)","[例]微信MAU约13亿;抖音MAU约7亿;拼多多MAU约9亿;京东MAU约6亿","①ROI正向渠道加大拉新投放;②个性化push+红包召回沉睡用户"
4,运营类,获客成本(CAC),"获取一个新付费用户/新注册用户所花的营销费用,单位:元/人","营销推广总投入 / 同期新增用户数(注意定义:新增注册?新增首单?口径一致可比)","①流量平台广告竞价激烈单价涨(↓,即CAC恶化);②精准投放模型优化点击率转化率提升(↑,即CAC变好);③老带新裂变奖励成本(↑/↓看机制);④品牌心智积累自然流量增加(↑,CAC下降)","[例]电商平台首单用户CAC 200-500元;SaaS公司获客800-5000元/客户;LTV/CAC >3 健康,>5 优秀","①算法优化投放人群精准度减少无效曝光;②加大老带新裂变机制(分享红包/拼团)替换高成本广告"
5,运营类,用户终身价值(LTV),"单个用户在整个生命周期内为平台贡献的净利润(不是收入,是扣成本后的利润),单位:元/人","复杂模型:LTV = ARPU(单客月均净利) × 用户平均留存月数 × 毛利率贡献;简化:ARPU × 1/流失率","①ARPU(单客月消费)提升(↑);②毛利率贡献提升(↑);③用户留存率提升(↑);④流失率下降(↑,留存更久)","必须和CAC联动看:LTV/CAC > 3 健康;行业内电商一般LTV 800-3000元/人不等","①会员体系权益分层提升复购和单客消费;②个性化推荐提升留存时长"
6,运营类,复购率(Retention Rate),"一段时间内二次及以上购买的用户数占总购买用户数的比例,反映用户粘性","复购用户数(周期内≥2次购买) / 同期总购买用户数 ×100%","①会员/订阅权益设计(↑);②个性化复购提醒+定向券(↑);③商品品质与消费体验好(↑);④商品本身低频次(房产/汽车)天生复购低(↓)","电商全行业次月复购 20%-40%;SaaS行业月留存>80%为优秀;美妆>食品>3C数码(低频次)","①会员积分体系跨周期累计激励复购;②对购买后7-14天人群做精准复购触达券(ROI考核)"
7,运营类,订单履约成本(Fulfillment Cost Per Order),"每一单订单分摊的仓储+分拣+配送+包材+人工成本,单位:元/单","履约总费用(仓储折旧+配送运费+包材+仓配人员薪酬) / 同期完成订单总数","①自动化仓储投入摊薄单均(↑,长期降本);②订单密度提升(同城单集中配送路线短)(↑);③包材集中采购降价(↑);④燃油/人力成本上涨(↓)","[例]京东自营单均履约 12-15元;通达系快递面单2-5元;生鲜冷链履约 20-30元/单","①仓配自动化(AGV分拣/自动打包)升级;②配送路线AI算法优化+集中配送区域密度提升"
8,运营类,退货/退款率(Refund Rate),"退款订单或退款金额占总订单/总GMV的比例,反映商品真实性、品质、用户预期匹配度","退款订单数 / 总订单数 ×100%;或 退款金额 / GMV ×100%","①商品详情页图文夸大与实物不符(↑,退货增加);②虚假发货/刷单(↑);③商品品质问题破损/过期(↑);④大促冲动消费冷静期后悔(↑)","服饰鞋包30%+常见;美妆个护10-20%;数码家电5%以内;食品生鲜3-8%","①品控抽检前置+详情页尺寸/材质说明标准化;②刷单刷退异常账号严打+限流"
9,财务类,综合毛利率(Gross Margin),"每1元营业收入扣掉营业成本后,剩下的钱可以覆盖费用和形成利润的比例","(营业收入 - 营业成本) / 营业收入 ×100% (注意会计口径:总额法/净额法对毛利率影响巨大,自营>平台不可直接比)","①高毛利产品/类目销售占比提升(↑);②采购/生产成本下降(↑);③产能利用率提升摊薄单位固定成本(↑);④大促降价促销折扣加深(↓)","纯平台模式40%-65%;自营+平台混合10%-20%;传统制造业20%-35%;软件/SaaS 70%-90%;医药品牌50%-80%","①高毛利品类(美妆/3C品牌/软件)招商或扩产;②供应链集中采购+长期框架协议压低进货/原材料成本"
10,财务类,销售费用率(Sales Ratio),"营销和销售相关费用占营业收入的比重,反映增长对投放的依赖度","销售费用 / 营业收入 ×100% (含广告投放、销售薪酬差旅、渠道返利、补贴促销)","①补贴促销活动加码(↑,费用率恶化);②品牌心智成熟自然流量占比提升(↓,费用率改善);③营收规模快速增长(分母变大↓);④新市场新城市开拓(↑)","消费互联网行业 20%-30%常见;品牌消费品10%-20%;>30%需警惕增长不可持续;茅台<3%","①ROI正向渠道加投,负向渠道砍预算;②加大效果广告(可追溯ROI)替换品宣(难量化)"
11,财务类,研发费用率(R&D Ratio),"研发投入占营收比例,反映技术投入壁垒和未来增长潜力","研发费用(人员薪酬+云服务器+软件外包+专利等) / 营业收入 ×100%","①算法/技术团队大规模扩招(↑);②大模型/大算力投入(↑);③营收增长快于研发投入(↓,被动改善)","纯互联网/科技公司10%+常见;华为长期>15%;亚马逊12%左右;传统制造<5%;医药创新企业>20%","①研发项目做ROI考核聚焦核心竞争力;②研发加计扣除税务政策用足降低实际负担"
12,财务类,应收账款周转天数(DSO),"应收账款收回一次平均需要的天数,越短越好,反映回款能力和下游议价权","(平均应收账款余额 / 营业收入) × 365天","①对下游客户账期政策放松赊销增加(↑,恶化);②客户集中度高且大客户拖款(↑);③收款催收力度加强(↓,变好);④预收/现款现货模式(↓极低)","toC平台模式<7天甚至负数(极优);toB制造 30-90天;工程类>120天需警惕坏账;>180天高危","①客户分级账期管理KA严格合同;②应收保理/资产证券化加速回款;③对逾期客户停供+法律催收"
13,财务类,存货周转天数(DIO),"存货卖出一次平均需要多少天,越短说明卖得越快资金占用越少,但不同行业天差地别","(平均存货余额 / 营业成本) × 365天","①供应链需求预测精准滞销减少(↓,变好);②大促备货过量(↑,恶化);③产能过剩产成品积压(↑);④高端白酒/奢侈品越存越值钱(反而高=正常)","快消零售30-60天优秀;服饰90-180天;电子3C 60-90天;造船/重工>300天;高端白酒>3年(反而越久越贵)","①需求预测算法优化安全库存下调;②滞销尾货折扣出清/奥莱渠道快速周转;③JIT(零库存)或VMI(供应商管理库存)模式推进"
14,财务类,应付账款周转天数(DPO),"对上游供应商的付款一次平均要多少天,越长说明占用供应商无息资金越多(浮存金能力),但过长会损商誉","(平均应付账款余额 / 营业成本(或采购额)) × 365天","①对上游议价能力增强延长账期(↑,浮存金增加);②监管要求缩短商家账期(↓,如某平台从T+30改T+7);③集中采购+规模压价付款条件改善(↑)","电商平台模式60-90天正常;沃尔玛/家乐福 45-75天;制造业30-60天;过长>120天需警惕供应商关系恶化","①商家分级制度新入驻非KA适度延长账期;②集中采购框架谈判时付款条款作为重要条件"
15,财务类,现金转换周期(CCC),"从付钱买货到卖货收到现金整个循环要多少天.越小越好,甚至为负=占用别人钱做生意","CCC = DSO(应收天数) + DIO(存货天数) - DPO(应付天数)","①DSO下降(↑CCC变好);②DIO下降(↑CCC变好);③DPO上升(↑CCC变好)","Amazon/京东CCC常年≈-10 ~ -30天(极优,用供应商钱做生意);ZARA≈0天优秀;传统制造 30-90天;工程类>150天","①三条分项分别优化:催收降DSO、去库存降DIO、谈判账期升DPO"
16,财务类,经营性现金流/净利润(CFO/NI Ratio),"利润的现金含量,1元会计净利润对应多少真实现金到手,>1说明利润质量高","经营活动产生的现金流量净额 / 归属于母公司净利润","①应付账期延长浮存金增加(↑,变好);②存货积压占用现金(↓,恶化);③应收款项大幅增加(↓,恶化);④大额预收/会员费(↑)",">1.0 健康稳定;0.5-1.0 一般;＜0.5 警惕利润造假或营运资金恶化;连续3年＜0高危","①应收催收+存货去库存+应付谈判三管齐下改善营运资金"
17,财务类,资产负债率(D/A),"总负债占总资产的比例,反映杠杆水平和长期偿债风险.脱离行业谈高低无意义","总负债 / 总资产 ×100%","①有息负债(银行贷款/债券)增加(↑);②预收/应付等无息经营负债增加(↑,但风险小于有息);③盈利积累未分配利润增加(↓)","银行保险80%-95%(正常);房地产60%-85%;重资产制造40%-60%;互联网/轻资产20%-40%;茅台<20%(几乎无有息负债极优)","①若杠杆过高优先偿还高息有息负债降低财务费用;②经营类无息负债合理放大不构成风险反而有利"
18,财务类,净资产收益率(ROE,杜邦三因素拆解),"股东投入1块钱一年能赚多少净利润,长期看是公司价值的核心指标,>15%为优秀","杜邦拆解: ROE = 净利率× 资产周转率× 权益乘数(杠杆) = (净利润/营收)×(营收/总资产)×(总资产/净资产) ×100%","①净利率提升(↑);②资产周转加快卖得快(↑);③适度使用杠杆(↑,但过高反噬)","长期(5-10年滚动)>15%为优秀公司;>20%为顶级公司;连续3年<5%基本不值得关注(不如买理财)","①对应三因素分别行动:产品升级提价增净利;供应链降库存提周转;资本结构优化适度杠杆"
